username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
NOAM CHOMSKY,776745292662185985,2018-02-19 22:58:52,"RT @hartigan_connor: ""Far-right demonstrations always end in violence in Spain...There is no point in pretending they don't...far-right dem...",37,None,452,1136,0.0,0.0
rosagpl44,300453261,2018-02-19 22:58:40,RT @denterd: NYTimes: #Catalonia's politician @AnnaGaSabate leaves for Switzerland days before court date to prepare her legal defense http...,50,Catalonia,613,1827,0.2,0.2
Llopineiv 🎗,907317962058731522,2018-02-19 22:58:31,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,166,240,0.0,0.2
Funk Me Barcelona,198837153,2018-02-19 22:58:25,"RT @SMarwickYes: ""If my mother tongue is shaking the foundations of your state, it probably means that you built your state on my land."" -...",391,None,20,46,0.0,0.0
Colin Males,257230487,2018-02-19 22:58:21,"RT @nytimesworld: RT @RaphaelMinder Adding another unexpected twist to the trial of Catalonia's pro-independence leaders, will Anna Gabriel...",13,None,604,2869,0.1,1.0
John Dooley 🎗,262223469,2018-02-19 22:57:58,"RT @KarnaMikko: Four months. That is how long #EU has tolerated political prisoners in #Spain. I am ashamed of our union of ""peace and demo...",1201,EU,58,142,-0.025,0.25
Ras i curt (Reloaded),558926859,2018-02-19 22:57:56,RT @denterd: NYTimes: #Catalonia's politician @AnnaGaSabate leaves for Switzerland days before court date to prepare her legal defense http...,50,Catalonia,602,1012,0.2,0.2
Frederic 🌟Rep.Cat🌟,3623790437,2018-02-19 22:57:27,RT @SiemonKlaus: Dear NYTimes! Please take notice. Violation of a Constitution is not a crime. A crime needs to violate a penal code. Spani...,496,None,1117,1646,0.0,0.0
FREE CATALONIA,449654830,2018-02-19 22:57:03,RT @rogerevansny: Operation Catalonia: Spain's assault on democracy https://t.co/oRMn7SfN6R,93,None,262,237,0.0,0.0
Pere C Riera,905128468844879872,2018-02-19 22:56:49,"RT @lizcastro: Spain's democracy and EU credibility are at stake in Catalonia, says Swedish newspaper
https://t.co/MCjyqRPkoq",356,None,55,175,0.0,0.0
Catalan Studies UoB,911304771361009665,2018-02-19 22:56:41,"RT @AngloCatSoc: Today marks #150years since the birth of #PompeuFabra (1868-1948), architect of the modern Catalan language https://t.co/X...",15,150years,117,286,0.2,0.3
Allenomura,556716394,2018-02-19 22:56:29,RT @hartigan_connor: Catalonia is progressive and forward-looking. The Spanish state is deeply conservative and backward-looking. Given thi...,47,None,224,682,0.0,0.2
🐱Antiespecista //*//,885806839,2018-02-19 22:56:29,"RT @valenciadesoca: Castello is no Castilian town, but was funded by James/Jaume I (a Catalan King by fathers' line, who issued Castello Ch...",5,None,836,984,0.0,0.0
Tacua,961041870779486208,2018-02-19 22:56:25,"RT @EmbTabUK: #lasilenciosacat #Tabarnia #Geronia
According to a report by the @bbva bank, #Catalonia will this year create ""35,000 fewer w...",12,lasilenciosacat,230,41,0.0,0.0
