username,author id,created,text,retwc,hashtag,followers,friends,polarity,subjectivity
thelmalagos,217348729,1/25/18 18:23,"RT @JasonHalle: THINGS TRUMP LOVES MORE THAN GOLF:* Hating Brown People* Hating Black People* Hating Immigrants* Destroying Planet* D...",612,None,11911,8661,0.044444444,0.311111111
Peyton Johnson,111601526,1/25/18 18:23,@FoxNews @KarlRove @POTUS @FBI That should also mean that Mueller has to be under Oath to assure he doesn't fabrica... https://t.co/SZ1xnmGixP,0,None,2,25,-0.3125,0.6875
Tony,136099837,1/25/18 18:23,"RT @NWOinPanicMode: Trump has pure disdain for the liberal elites at Davos.He's going there to make deals in OUR best interest and as liv...",29,None,2735,4997,0.607142857,0.4
Dame Minty of Arsefun,64229233,1/25/18 18:23,"RT @SkipsterX: Shoutout to plod, who are going to have to put up with a fucktonne of middle class Marxist twats being arseholes when Trump...",6,None,3134,836,-0.1,0.1
kenneth Kane,24521746,1/25/18 18:23,@secupp Trump must go soon.,0,None,378,827,0,0
Beth,453175239,1/25/18 18:23,RT @kylegriffin1: In April 2012 then-RNC chair Reince Priebus filed a formal complaint with the Government Accountability Office charging t...,4060,None,13,57,-0.3,0.2
Hanna Novac,9.03562E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/M4c79b5Cup,0,None,216,1210,-0.65,0.95
Deplorable DNA,7.39939E+17,1/25/18 18:23,"RT @CollinRugg: John Kerry told the Palestinians to not ""yield"" to Trump. So he's colluding with a foreign power...So when are we going t...",271,None,2726,2705,-0.125,0.125
LegalDreamer_Ÿ‡º_Ÿ‡¸_Ÿ‡¬_Ÿ‡§,47573602,1/25/18 18:23,"RT @paulsperry_: BREAKING: One text from fall 2016 in new batch of FBI texts references Comey ""updating"" Obama about an ""investigation."" Un...",3239,None,2566,5000,0.136363636,0.454545455
Tina Cerry #impeachTrump,9.1554E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/TWMvqUZIYY,0,None,222,577,-0.65,0.95
Eileen Spina,103958578,1/25/18 18:23,@JudicialWatch Who is allowing this? Does President Trump know this is happening behind his back?,0,None,9,103,-0.2,0.35
Jacob Steel,7.31586E+17,1/25/18 18:23,"As State of the Union nears, is America great again for the working class? https://t.co/AvDWIPfRrh",0,None,54,29,0.8,0.75
Donna B,2690717251,1/25/18 18:23,"RT @netanyahu: President Trump, as you finish your first year in office, I want to say that I look forward to continuing our remarkable, tr...",998,None,930,274,0.5,0.541666667
Abby,9.52245E+17,1/25/18 18:23,"RT @ChristiChat: Hey dems-I'm #NotABotI'm your worst nightmare!I'm proud American!My grandparents legally immigrated to America over 10...",851,NotABot,12,24,1.39E-17,0.55
William Joyner,80709580,1/25/18 18:23,"RT @RepAdamSchiff: Trump goes to Davos, having insulted many of the world leaders there, to tell them to put ""America First."" Apparently th...",2806,None,199,916,0.266666667,0.394444444
G.G.,61013741,1/25/18 18:23,"RT @renato_mariotti: When big news comes out of the Russia investigation, Trump and his son tweet about the Nunes memo and text messages. T...",3043,None,440,441,0,0.1
Meme Theorist,16732211,1/25/18 18:23,"RT @BarakRavid: If Jerusalem is off the table as Trump has just said, it means the ""ultimate deal"" is off the table. After Trump's statemen...",52,None,2224,2915,0,1
Irene Russo,7.34567E+17,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2578,None,1197,102,-0.3,0.55
#NotMyPresident EVER,2584613113,1/25/18 18:23,"RT @RepAdamSchiff: Trump goes to Davos, having insulted many of the world leaders there, to tell them to put ""America First."" Apparently th...",2806,None,4513,4993,0.266666667,0.394444444
News Global Today,2883840371,1/25/18 18:23,"Trump, in Davos, Seeks to Mend Strained Ties with Britain - New York Times https://t.co/qQIOlRBbZN",0,None,86,0,0.136363636,0.454545455
ProudAmerican _Ÿ‡º_Ÿ‡¸,2417844248,1/25/18 18:23,BOOM! President Trump Just Called Mueller's Bluff https://t.co/E8LfrHpdYB via @truthfeednews,0,None,54102,52283,0,0
jash,45446985,1/25/18 18:23,"RT @funder: .@ChuckGrassley-Hurry up &amp; release the Donald Trump, Jr. testimony. It doesn't take days to redact something that small. We kno...",21,None,4049,4702,-0.25,0.4
Deplorable Me,28239343,1/25/18 18:23,"RT @Education4Libs: President Trump has to know what we know - and more. He's playing it close to the vest like a poker player, waiting for...",231,None,15592,14538,0.5,0.5
Gwen Miller,340567206,1/25/18 18:23,"Don Surber: ""I love Trump for being frank with Africans"" https://t.co/FMBNMLK5DA",0,None,3367,2587,0.5,0.6
bottom lip jip,8.76792E+17,1/25/18 18:23,"RT @LesleyMillercyp: I am very jealous @realDonaldTrump is not the PM of UK. What a fantastic speech! Trump ~Speech https://t.co/gQHtjGum2o",3,None,568,601,0.35,0.6
Debi129_Ÿ‡º_Ÿ‡¸RESIST_ŸŒ__Ÿêù,16444544,1/25/18 18:23,"RT @SenBlumenthal: I strongly support this step, but it must be followed by public, under oath testimony by these witnesses and others - as...",103,None,8857,6822,0.216666667,0.4
Vic,9.29078E+17,1/25/18 18:23,RT @Shandy556: @NeelCNN @ChrisCuomo @RepMattGaetz Shame on you @RepMattGaetz. Why would you do this? For Donald Trump?,3,None,53,185,0,0
shanaban,58187647,1/25/18 18:23,"RT @SenFeinstein: Just one year into the Trump administration, Chairman Grassley has held a second hearing for a judicial nominee over the...",2012,None,513,136,0,0
rolltide,237895537,1/25/18 18:23,"RT @jimsciutto: So: 1- GOP Senator says ""secret society"" text was a joke2- GOP-led DOJ says it is ""unaware"" of any FISA wrongdoing3- Miss...",121,None,373,1011,-0.2,0.6
Lack land #Resist,1226641662,1/25/18 18:23,RT @nowthisnews: Government photographer Simon Edelman was fired by the Trump administration after he leaked a photo suggesting they weren'...,7454,None,5066,4425,0,0
Jocelynn Kountze@,897101592,1/25/18 18:23,"Trump lands in Davos, abroad again while Russia loomshttps://t.co/U7oNdkCvajJust another unwarranted me, me tour.",0,None,589,860,0,0
Kevin Michael Leahy,3475655654,1/25/18 18:23,"RT @EdKrassen: As President Trump arrives in Davos, Switzerland, here is the sign that hangs on the mountainside....  Seems like people are...",927,None,28,502,0,0
tina broussard,837702876,1/25/18 18:23,"RT @MSNBC: Tourism to U.S. is down since President Trump took office, costing $4.6 billion and 40,000 jobs https://t.co/GalpCBOv4S",12325,None,34,319,-0.155555556,0.288888889
C. Martiney,1546914720,1/25/18 18:23,"RT @jimsciutto: So: 1- GOP Senator says ""secret society"" text was a joke2- GOP-led DOJ says it is ""unaware"" of any FISA wrongdoing3- Miss...",118,None,665,887,-0.2,0.6
Donald Gatton,9.38162E+17,1/25/18 18:23,"RT @funder: .@ChuckGrassley-Hurry up &amp; release the Donald Trump, Jr. testimony. It doesn't take days to redact something that small. We kno...",28,None,223,236,-0.25,0.4
Capt morgan,8.12092E+17,1/25/18 18:23,@PressSec Is the Trump crime family going to check on their hidden $ while there? Never mind I forgot it's in RUSSIA. #LOCKTRUMPSUP,0,LOCKTRUMPSUP,39,110,-0.166666667,0.333333333
Malek Massoud Riahi,35587169,1/25/18 18:23,RT @nowthisnews: Government photographer Simon Edelman was fired by the Trump administration after he leaked a photo suggesting they weren'...,7454,None,386,1454,0,0
Frankie,8.84853E+17,1/25/18 18:23,RT @RonaldKlain: This is a critical point and a key way in which Trump breaks the system.  His prior statements have no bearing on his curr...,109,None,285,600,0,0.6
Carol RN _ŸŒ·,469913850,1/25/18 18:23,FIFY! Michelle Malkin SHREDS anti-Trump progs' mountainside banner near Davos https://t.co/fFYvLFeD3a via @twitchyteam,0,None,5057,4780,0.1,0.4
Donna Lintz,117630387,1/25/18 18:23,"RT @alozrasT11: A FANTASTIC IDEA!Growing Calls for President Trump to Read Explosive FISA Memo During State of Union AddressThe US pu...",63,None,85,193,0.5,0.9
Ira Zven #Resist,9.15243E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/Q5lAUgIhoS,0,None,97,709,-0.65,0.95
Mikal Vaughn1,9.20058E+17,1/25/18 18:23,"RT @BettyBowers: TRUMP: "". . . so help me God.""MUELLER: ""You do realize that if you lie, it's a crime?""TRUMP: ""I never lie."" MUELLER:...",418,None,166,424,0,0
Greg,33722041,1/25/18 18:23,"""Donald Trump was Arraigned today..."" #MakeADayBetterIn5Words",0,MakeADayBetterIn5Words,121,899,0,0
Civicsnerd,9.4963E+17,1/25/18 18:23,"RT @activist360: Today's GOP -- the anti-American party of treason: Republican congressman Charlie Dent reaches his breaking point, demands...",95,None,234,806,0,0
Lee Ann Kidwell,8.23014E+17,1/25/18 18:23,"RT @funder: RT if you agree Mueller should lock up Trump!Tweet this link out &amp; we will RT &amp; follow you: https://t.co/XB1pMnfbjI#TheResi...",1121,None,6,95,0,0
matt b,534649122,1/25/18 18:23,"RT @chuckwoolery: Exclusive: Senate Democrats blocking Trump nominee because he is gay, Log Cabin leader says https://t.co/241YugDIx6 https...",245,None,3,21,0.416666667,0.583333333
Voodoo Doctor,1011157278,1/25/18 18:23,"RT @funder: 9 years ago I had the honor of standing next to a REAL President on inauguration night. Now I hope you'll stand with me by su...",765,None,209,307,0.1,0.15
anodyne,21457771,1/25/18 18:23,RT @nowthisnews: Government photographer Simon Edelman was fired by the Trump administration after he leaked a photo suggesting they weren'...,7454,None,2793,572,0,0
Marina Jones,9.00943E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/d8QSQalkAH,0,None,92,739,-0.65,0.95
Sharon Knapik,73048382,1/25/18 18:23,"RT @FoxBusiness: .@SecretaryRoss on company's giving bonuses in response to Trump's tax law: ""We didn't realize that it would be instantane...",90,None,1774,737,0,0
Kim Vliem,8.50049E+17,1/25/18 18:23,"RT @brianklaas: This is @LynnePatton, whose professional qualifications are: Trump family wedding &amp; event planning / working for Eric Trump...",79,None,325,407,0.1,0.1
Allyson,8.25146E+17,1/25/18 18:23,RT @RealJamesWoods: The Democrats hate America so much... https://t.co/j6hWn3Vh3s,2578,None,27,60,-0.3,0.55
Dr. Antonio Lopez,53454426,1/25/18 18:23,"RT @JenniferJJacobs: New: Who's Trump inviting to dinner?Here's the list of European business leaders on guest list for private dinner in...",3,None,896,829,0.045454545,0.276515152
*DayDreamingLady*,8.82626E+17,1/25/18 18:23,I agree something is telling me that would be a big mistake for her look's like she feels the same. anyone is going... https://t.co/M3HOgEjmv9,0,None,2445,1682,0,0.1125
Ernie,8.03282E+17,1/25/18 18:23,RT @Lrihendry: RT If you agree that President Trump should not sit down to be interviewed by Mueller for an illegitimate fake investigation...,640,None,26,39,-0.327777778,0.644444444
Joel Riley,15279557,1/25/18 18:23,Chinese mom pays price for husband's probe of Ivanka Trump https://t.co/XrNoiL7CSM,0,None,8217,2974,0,0
Deborah Boschman,69032114,1/25/18 18:23,RT @TLCampb3: @DiamondandSilk Only those harboring criminals. Over 100 mayors attended Trump's meeting and loved what the President had to...,1,None,19524,21377,0.35,0.9
The Rascal,8.31977E+17,1/25/18 18:23,"RT @funder: .@ChuckGrassley-Hurry up &amp; release the Donald Trump, Jr. testimony. It doesn't take days to redact something that small. We kno...",29,None,579,434,-0.25,0.4
Rebecca _ŸŒ ,292314038,1/25/18 18:23,RT @spaceangel1964: The #DoomsdayClock announcement today shows we have lost another 30 seconds and it is now set at 2 minutes to midnight....,232,DoomsdayClock,409,242,0,0
Ms.M,2148005005,1/25/18 18:23,"RT @SaysHummingbird: Lara Trump tells Fox that women who marched are too dumb to know why they're anti-Trump ""They just think that's the th...",4946,None,175,242,-0.375,0.5
Contributor,415223537,1/25/18 18:23,"RT @thehill: Trump official knocks down Nunes memo: ""We are currently unaware of any wrongdoing"" https://t.co/uHHO2BawYk https://t.co/TA1bc...",53,None,1909,3159,-0.077777778,0.394444444
BMLewis,358918792,1/25/18 18:23,"RT @owillis: ""Great chicken fingers, eh?"" Trump said. Nobody at Davos responded. In the distance, he could hear Macron holding court with s...",34,None,3077,3686,0.1,0.85
Cindy,2220351079,1/25/18 18:23,RT @morgfair: Trump's 24-year-old drug policy appointee to step down by month's end https://t.co/CIcgf7DKK6,5,None,62,229,-0.155555556,0.288888889
BK_Ÿ’¥The Storm Is Here_Ÿ’¥,8.0578E+17,1/25/18 18:23,"RT @NewRightNetwork: Reports: #WWE's @VinceMcMahon to announce return of the #XFLhttps://t.co/9yRcVzzkEE#NFLBoycott #NoKneelers#MAGA",54,WWE,19006,17742,0,0
KULDEEP PUROHIT,7.07284E+17,1/25/18 18:23,RT @climateprogress: Rick Perry says Trump is spreading freedom by keeping other countries hooked on fossil fuels https://t.co/cpvPLZVqwa h...,1,None,209,160,-0.125,0.375
Conservative Papers,126450671,1/25/18 18:23,Trump: School Choices 'Empower Parents' to Seek Best Future for Children: https://t.co/pW5ZihkqKq  #tcot,0,tcot,7813,6188,0.5,0.2125
DAR,9.11329E+17,1/25/18 18:23,Trump's Infrastructure Plan is a Scam #care2 https://t.co/SKYKJqI91h,0,care2,1050,1206,0,0
Cindy,19273004,1/25/18 18:23,"RT @tonyposnanski: Trump- I WILL BUILD A WALL AND MEXICO WILL PAY FOR IT!!!A year later...TRUMP- IF YOU DONT WANT ME TO DEPORT KIDS WHO...",1257,None,1570,1499,0,0
MATT,409303452,1/25/18 18:23,"RT @NathanHRubin: CNN employees faced a threat of mass murder yesterday, and the man arrested said he wanted to kill the ""fake news"" journa...",70668,None,246,376,-0.5,1
Gino DiGino,53119816,1/25/18 18:23,"RT @FoxNews: .@POTUS: ""When [the Palestinians] disrespected us a week ago by not allowing our great @VP to see them, and we give them hundr...",1516,None,237,61,0.8,0.75
windflower,480061435,1/25/18 18:23,"@RepSeanMaloney I would like to know your position on Secure-America's Future Act, as well as President Trump's rec... https://t.co/4n79BTzEL3",0,None,14,154,0,0.125
David McElveen,2517645898,1/25/18 18:23,"@CNN It's called the "" Standardized Hate for Incompetent Trump"" factor... or SHIT factor. By comparison, everyone looks better.",0,None,18,14,-0.2125,0.641666667
MacKenzie,772611787,1/25/18 18:23,"RT @NathanHRubin: CNN employees faced a threat of mass murder yesterday, and the man arrested said he wanted to kill the ""fake news"" journa...",70668,None,1081,1529,-0.5,1
aljan.,248145799,1/25/18 18:23,RT @The_Trump_Train: @realDonaldTrump Barry and Crooked Hillary would be selling our country for personal cash right about now.. THANK GOD...,100,None,999,296,0.095238095,0.311904762
Pam,225137098,1/25/18 18:23,"RT @Only4RM: Sorry @BernieSanders, you selfish and callous scoundrel. You will NOT be rewarded with the Democratic Party nomination for you...",26,None,2759,3009,-0.5,1
Steven,353309332,1/25/18 18:23,"RT @FoxNews: .@TomiLahren: ""Isn't it funny how, you know, certain sides of the political aisle usually have things that go missing to their...",551,None,7,42,0.002857143,0.394285714
Ron Gartner,734772276,1/25/18 18:23,"RT @PalmerReport: ""Terry is Hillary"": Donald Trump's demented new Hillary Clinton conspiracy theory shows how far gone he is https://t.co/Z...",3,None,2048,984,0.118181818,0.727272727
Big Daddy Tee,1477958467,1/25/18 18:23,@AndreDctrdre So? They carry R's in front of their names no? Can't pick and choose to suit your bullshit narrative... https://t.co/iTqmhl2VsU,0,None,1870,1899,0,0
Red Speckled Pup,493257266,1/25/18 18:23,RT @jasoninthehouse: DOJ recovers missing text messages between anti-Trump FBI agents Strzok and Page | Fox News https://t.co/CF44UNoVIR,34,None,655,225,-0.2,0.05
Lois Newton,1934964421,1/25/18 18:23,"@richb59again @4everNeverTrump Well, good luck to you. Hope you're able to regain sensibility after this blip as Tr... https://t.co/Hs9B1HBfu0",0,None,1299,465,0.6,0.6125
A Proud Liberal,7.37654E+17,1/25/18 18:23,"RT @christinawilkie: Trump: ""i was a much better candidate than her. You always say she was a bad candidate. You never say I was a good can...",204,None,1779,2144,0.166666667,0.588888889
shambling mound,2186609712,1/25/18 18:23,RT @joshtpm: Trump and the Trump family have a congenital moral disability that makes it almost impossible for them to follow the law. #nat...,35,None,423,2844,-0.333333333,0.625
1ST PantsuitNation,7.98638E+17,1/25/18 18:23,"RT @jimsciutto: So: 1- GOP Senator says ""secret society"" text was a joke2- GOP-led DOJ says it is ""unaware"" of any FISA wrongdoing3- Miss...",121,None,929,1618,-0.2,0.6
Marcial Godoy,413595934,1/25/18 18:23,RT @TheRoot: Trump's racist comments will be used against him in NAACP LDF's lawsuit for revoking protections of Haitian immigrants: https:...,41,None,252,368,0,0
Richard McDonie,514711223,1/25/18 18:23,"RT @libertytarian: #FBI agents talk of a #SecretSocieties to oppose #Trump? President Truman warned us about this in 1945 -- 73 years ago...",102,FBI,306,408,0,0
HULK RESIST _Ÿ’¥,9.29455E+17,1/25/18 18:23,"RT @2HawkEye2018: Senate Judiciary Committee plans to #ReleaseTheTranscripts of its interviews w/ Trump's son, Trump Jr., and others who pa...",8,ReleaseTheTranscripts,200,225,0,0
Jean Ferretti,100875458,1/25/18 18:23,RT @kincaid323: This is what we get under the Trump #kakistocracy: Don Jr's wedding planner #LynnePatton was given a HUD job and uses her p...,1,kakistocracy,2738,2807,0,0
Valintina,8.85942E+17,1/25/18 18:23,#Trump really believes he the Star of the Show https://t.co/8bS3mWLoWC,0,Trump,247,228,0.2,0.2
Ken Rini,7.86685E+17,1/25/18 18:23,"RT @libertytarian: #FBI agents talk of a #SecretSocieties to oppose #Trump? President Truman warned us about this in 1945 -- 73 years ago...",102,FBI,197,271,0,0
Suzanne grace flowers,9.28659E+17,1/25/18 18:23,RT @itzjamie55: @swilkinsonbc Trump is a foreign agent for Israel! Satanyahu knows all he has to do to control his puppet is praise the nar...,2,None,159,241,-0.15625,0.125
Polina #RESISTER,9.15486E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/auqb8BlJCN,0,None,150,1164,-0.65,0.95
Robin Wesley,2303825245,1/25/18 18:23,RT @TheOralBuffet: @TripleMinority @joy31608 @rwesley827 @PMorris153 @TheRoot @RenagadeGirl @SarahRudolp @jboogiebrown2 @ivery5000 @Patsy12...,3,None,404,269,0,0
MAGAGirl,8.57403E+17,1/25/18 18:23,Trump Official Tells Critics at Davos: Those Who Do Not Want to Listen to Trump Can Leave (VIDEO) https://t.co/IPMq31YweB,0,None,9738,10138,0,0
BreakingNews,9.04672E+17,1/25/18 18:23,"RT @FlyAtTheDebate: Hi Brian Stelter (Fake News), sometimes we can't help but laugh at your rabbit teeth. #CNN #MSNBC #FoxNews #Politics #P...",1,CNN,98,51,-0.1,0.55
harley andrews _Ÿ‡º_Ÿ‡¸_Ÿ‘ _Ÿè€_Ÿ‡º_Ÿ‡¸,2330881664,1/25/18 18:23,"RT @dbongino: Dear @SallyQYates, when can we expect your opinion piece demanding a full investigation into @JohnKerry for serious Logan Act...",1382,None,10449,8293,0.008333333,0.608333333
BSmith,64042956,1/25/18 18:23,"RT @JuddLegum: Anti-Mueller narratives that fell apart in last 24 hrs:1. Texts from two agents deleted to cover up plot against Trump. (G...",5704,None,1331,3491,0,0.066666667
Christine Mahoney,254712809,1/25/18 18:23,RT @JohnWDean: California voters in the 22nd District need to send Devin Nunes back to his family farm. Nunes is a threat to the nation's n...,615,None,11,184,0,0
Kim Curry,3256187221,1/25/18 18:23,"RT @HuffPost: President Trump said he'd saved 1,100 jobs at a Carrier plant in Indiana. But now hundreds more employees have been laid off,...",1471,None,76,69,0.5,0.5
Chuck Orvis,1952154218,1/25/18 18:23,RT @hotfunkytown: Obama is behind all of this corruption. They thought that it would be business as usual &amp; continue to destroy America.  P...,1800,None,2252,1485,-0.283333333,0.316666667
Joshua Birkenhauer,1963775672,1/25/18 18:23,"RT @mkraju: Dems are praising Grassley's promise to release transcripts of intvws with Trump Tower meeting participants, but they say Jared...",99,None,198,776,0,0
Nastya S #Resist,9.15246E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/jmvg2B7tT1,0,None,71,504,-0.65,0.95
à_°à¥‹à__à_¿à__,9.48438E+17,1/25/18 18:23,"RT @netanyahu: President Trump, as you finish your first year in office, I want to say that I look forward to continuing our remarkable, tr...",998,None,22,155,0.5,0.541666667
Ken Klinkner,25942432,1/25/18 18:23,"@EricHaywood Trump repeatedly screamed and promised during the campaign that ""Mexico will pay for the wall""! Not on... https://t.co/HxMp6Pci14",0,None,38,36,0,0
Proud Deplorable,284820716,1/25/18 18:23,RT @IheartEastTexas: @tracybeanz @dbongino I heard Trump went to pick them up and have a hard copy for HIM personally. I do not blame him f...,1,None,1609,3233,-0.145833333,0.420833333
Anastasia B #impeachTrump,9.15514E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/iwk3NKLuTG,0,None,165,657,-0.65,0.95
Leslie_Ÿ’–_Ÿ––_Ÿ‘µ_Ÿç’,123102547,1/25/18 18:23,"RT @emptywheel: Where'd he get that 823 number from?I've been told it's at least in the ball park for the real number of Hillary staffers...",1,None,2809,2478,-0.05,0.35
People over Party,7.77185E+17,1/25/18 18:23,@JudgeJeanine Trump is going down and you should be thrown off whatever bench you think you are on,0,None,54,228,-0.155555556,0.288888889
Bill Slater,247367303,1/25/18 18:23,"RT @BasedMonitored: President of Uganda: ""America has got one of the best presidents ever - Mr. Trump - I love Trump"". https://t.co/8Jgrn0t...",285,None,173,326,0.75,0.45
Justice4all,1884645062,1/25/18 18:23,RT @owillis: Fox warns Trump: Don't testify under oath. You will get caught lying. https://t.co/hFZXoPdhG2 via @shareblue,38,None,348,90,0,0
Vivi,404968341,1/25/18 18:23,RT @SenWarren: When @realdonaldtrump ran for president he said marijuana policies should be left up to states. He should stick to his word...,1622,None,30,366,0,0
#StillSanders #DemX,17664609,1/25/18 18:23,"Trump indicted for money laundering.#MakeADayBetterIn5Words",0,MakeADayBetterIn5Words,3383,4101,0,0
Islandgirl_Ÿ‡¨_Ÿ‡__Ÿ‡º_Ÿ‡¸_Ÿê__ŸŒ_â_“ï¸èâ›´,4725990176,1/25/18 18:23,"RT @kylegriffin1: A growing number of Davos attendees are planning to walk out of Trump's speech at the World Economic Forum this Friday, s...",1277,None,148,501,0.2,0.2
hel,2587769071,1/25/18 18:23,"RT @OhNoSheTwitnt: Friendly reminder that Trump calls him ""Cryin' Chuck"" because he teared up a bit once when talking about his family who...",5835,None,103,87,0.375,0.5
Mariya #RESISTANCE,9.15496E+17,1/25/18 18:23,Swiss protestors just gave Trump an unpleasant surprise for his arrival at Davos https://t.co/jcJgUz26xa,0,None,175,620,-0.65,0.95
Carmen Del Castillo,65985802,1/25/18 18:23,RT @ShaunKing: White supremacist Trump supporter calls a Black employee @autozone a nigger and a Black bitch. Raves on how Trump will have...,1814,None,51,170,-0.111111111,0.288888889
The Amazing GUP!,8.28817E+17,1/25/18 18:23,RT @dbongino: It's highly likely the corrupted FBI officials involved in the spying scandal on Donald Trump haven't been fired because the...,5877,None,3501,3604,0,1
Lexi_Ÿ’˜,7.47578E+17,1/25/18 18:23,RT @BY1959: #MakeADayBetterIn5Words       Trump Has Left The Country.,15,MakeADayBetterIn5Words,369,767,0,0
Janette,19272578,1/25/18 18:23,"RT @SethAbramson: FACT: There *was* an FBI conspiracy to help elect one of the two candidates in the 2016 presidential election.It was a...",7474,None,200,375,0.8,0.9
Antonia,7.57777E+17,1/25/18 18:23,@wikileaks Schumer is immoral knowing who really collused in 2016 election he continues to spread deceitful info to... https://t.co/40Ry6Z8m5O,0,None,3290,5001,0.2,0.2
Ponnie YN,47850650,1/25/18 18:23,"RT @JudgeJeanine: John Kerry is a loser. Our prayers would be answered if he runs against President Trump.https://t.co/qVzFHb9e8l",1125,None,609,634,0,0
Laura_Ÿ‘ Marlin,4870478255,1/25/18 18:23,"RT @TeaPainUSA: Watchin' a fake GOP scandal fall apart is truly a beautiful thing, Patriots!  Trump Jr's transcripts are bein' released and...",873,None,13777,9526,0.25,1
#CNNSUCKS,3711366682,1/25/18 18:23,RT @WiredSources: JUST IN:  Three million Americans received 'Trump bonuses' due to Republican tax bill.,86,None,9321,753,-0.125,0.375
little old moi_Ÿ’¥,1517853098,1/25/18 18:23,RT @JaniceTXBlessed:  Comey was giving Obama regular updates during the campaign about the investigation. Unclear if he was referencing th...,408,None,1905,2010,0,0.076923077
Thisismyusalife,8.23246E+17,1/25/18 18:23,RT @RightWingAngel: This is how President Trump responded when asked if America is great #WEF18 World Economic Forum Davos video credit Bus...,1,WEF18,319,92,0.5,0.475
gays only event,2928865286,1/25/18 18:23,MR TRUMP MAKE DUELING LEGAL AGAIN,0,None,124,225,0.2,0.2
ginaswo,35252397,1/25/18 18:23,"RT @DaveNYviii: President Trump holds up God and Donald Trump, a book written by Stephen E. Strang with a forward by @GovMikeHuckabee #Davo...",88,None,1643,1960,0,0
Sylvia#TheResistance,7.96839E+17,1/25/18 18:23,"RT @JoeNBC: A United States Senator breathlessly suggested a ""secret society"" within the FBI was plotting the overthrow the president. It w...",5127,None,3907,4029,-0.4,0.7
GioGio,4033608166,1/25/18 18:23,"RT @mattyglesias: Once wary, the CEO class has decided to go all-in on Trump.https://t.co/vOIW9sUDUF",6,None,2378,3178,-0.5,0.7
FFG Info Inc,9.05656E+17,1/25/18 18:23,Trump needs to deliver an economic 'truth bomb' at Davos https://t.co/XfDVAoRcNe,0,None,7,0,0.2,0.2
Amy L Marckel,118029983,1/25/18 18:23,"RT @JohnFugelsang: Bill Kristol, who helped sell trickle-down economics, Dan Quayle, Bush/Cheney, the Iraq War (it'll last 2 months!), the...",1113,None,436,1407,0,0.066666667
"Wait, Wait, WHAT??",2740350485,1/25/18 18:23,"RT @ProudResister: SPOILER ALERT: There is no ""secret society"" within the FBI plotting to undermine Donald Trump. There is a compromised Pr...",5195,None,383,866,0.2,0.7
Sandra Jones,2944138989,1/25/18 18:23,RT @PalmerReport: Donald Trump caught releasing fake readout of his phone call with leader of Turkey https://t.co/AiCldvH4iC,66,None,28,109,-0.5,1
Karl Stockton,8.28265E+17,1/25/18 18:23,RT @nowthisnews: Government photographer Simon Edelman was fired by the Trump administration after he leaked a photo suggesting they weren'...,7454,None,46,321,0,0
john vu,442346516,1/25/18 18:23,"RT @CBCAlerts: BREAKING: Doomsday Clock signalling how close Earth is to destruction has been set at two minutes to midnight, the most dire...",2534,None,353,105,0.5,0.5
Sean Dangersocks,43946404,1/25/18 18:23,The 'May Trump' relationship is very comforting on such a windy day. ,0,None,518,1007,0.1,0.4
David Callinan,1580156564,1/25/18 18:23,"RT @NHSMillion: We couldn't agree with Edith more.Please RT if you think the money that will be spent on the Trump visit should go to the...",433,None,15,26,0.2,0.3
ProtectinD1â€¢America,19876690,1/25/18 18:23,RT @jasoninthehouse: DOJ recovers missing text messages between anti-Trump FBI agents Strzok and Page | Fox News https://t.co/CF44UNoVIR,35,None,1465,390,-0.2,0.05
Nate Buckley,24501363,1/25/18 18:23,"RT @jimsciutto: So: 1- GOP Senator says ""secret society"" text was a joke2- GOP-led DOJ says it is ""unaware"" of any FISA wrongdoing3- Miss...",121,None,32,371,-0.2,0.6
Meeche,465954632,1/25/18 18:23,"Led by Warren, lawmakers urge Trump to overrule Sessions on pot https://t.co/oxa9l9erx5 via @BostonGlobe",0,None,622,1140,0,0
Tom Fisko,7.01802E+17,1/25/18 18:23,RT @funder: Don't retweet this or it will make Devin Nunes and his master Donald Trump absolutely furious. And we wouldn't want to squash t...,1655,None,23,34,0.2,0.9
Pee Patrol,2865006620,1/25/18 18:23,RT @ETDEUMPURITAS: trump called this guy fat over twitter and he literally began a peace process https://t.co/bBPOcyBGSd,48,None,310,103,0,0
J. McNeil,35809936,1/25/18 18:23,"RT @BrianDubeeJr: @CNNPolitics Palestinian Pres Abbas criticizes Trump on cutting funding for the UNRWA, claiming it will ""starve the child...",3,None,98,108,-0.6,0.9
